input,word_1,word_2,word_3,word_4,pos_1,pos_2,pos_3,pos_4,def_1,def_2,def_3,def_4,sent_1,sent_2,sent_3,sent_4,ipa,pic,speech
branler,"BRANLER,",,,,verbe.,,,,"Agiter de droite à gauche, de haut en bas :",,,,"1. ... il était seul et paraissait soucieux. Avant de stopper, il regarda son frère, et branla plusieurs fois la tête.
R. Martin du Gard, Les Thibault,L'Été 1914, 1936, p. 334.",,,,\bʁɑ̃.le\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/23/LL-Q150_%28fra%29-Lyoko%C3%AF-branler.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-branler.wav.mp3
dépité,"DÉPITER,",,,,verbe trans.,,,,Causer du dépit (à quelqu'un).,,,,"Je suis dépité de voir un homme aussi original que vous abîmer son œuvre par de pareils enfantillages (Flaub., Corresp.,1879, p. 225):",,,,\de.pi.te\,,//upload.wikimedia.org/wikipedia/commons/transcoded/c/c6/LL-Q150_%28fra%29-DenisdeShawi-d%C3%A9pit%C3%A9.wav/LL-Q150_%28fra%29-DenisdeShawi-d%C3%A9pit%C3%A9.wav.mp3
sage-femme,"SAGE-FEMME,",,,,subst. fém.,,,,Auxiliaire médicale diplômée dont le métier est d'assister les femmes pendant leur grossesse et pendant leur accouchement et de prodiguer les premiers soins aux nouveau-nés.,,,,"Il demeurait acquis que la sage-femme du pays, prévenue par elle de son état, lui avait donné tous les renseignements et tous les conseils pratiques pour le cas où l'accident arriverait dans un moment où les secours demeureraient impossibles (Maupass.,Contes et nouv., t. 2, R. Prudent, 1886, p. 643).",,,,\saʒ.fam\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e3/Fr-Paris--sage-femme.ogg/Fr-Paris--sage-femme.ogg.mp3
genèse,"GENÈSE,",,,,subst. fém.,,,,Création du monde.,,,,"Pourquoi Moïse fait-il durer la genèse six jours, après quoi vient le repos de Dieu? (P. Leroux, Humanité, t. 2, 1840, p. 619).",,,,\ʒə.nɛz\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/52/LL-Q150_%28fra%29-Pamputt-gen%C3%A8se.wav/LL-Q150_%28fra%29-Pamputt-gen%C3%A8se.wav.mp3
souiller,"SOUILLER,","Souillant, -ante,","Souilleur,",,verbe trans.,"part. prés. en empl. adj,","subst. masc.,",,"Salir, couvrir d'une matière ou de quelque chose qui tache.","Qui souille, qui abaisse ou salit quelque chose ou quelqu'un.","Celui qui souille, qui salit quelque chose ou quelqu'un.",,"Sous le prétexte de toisés et de vérification, on oblige un homme à mener la vie du couvreur (...) on demande son avis au haut d'un échafaudage, on le pousse sur des échelles mal fixées, on le promène d'un étage à l'autre au milieu des plâtras et des gravois, on souille ses vêtements de peinture, on les saupoudre de plâtre (Reybaud,J. Paturot, 1842, p. 245).","Tout cela (...) pour glorifier qui? Voltaire, le polémiste le plus diffamant, le plus souillant, le plus emporté qui fut jamais (Veuillot,Odeurs de Paris, 1866, p. 56).","Il est ironique de songer que fut solennellement transféré au Panthéon (...) le plus grand et incontestable souilleur [E. Zola] de ce qui fait la grandeur et la noblesse de l'homme ici-bas (L. Daudet,Temps Judas, 1920, p. 56).",,\su.je\,,//upload.wikimedia.org/wikipedia/commons/transcoded/5/56/Fr-souiller.ogg/Fr-souiller.ogg.mp3
mongol,"MONGOL, -OLE,",,,,adj. et subst. masc.,,,,"Originaire ou habitant de la Mongolie; qui est relatif à cette région, à ceux qui y habitent ou qui y sont nés.",,,,"La juxtaposition en Europe des races germaniques et slaves, les invasions turques et mongoles, l'extension de la civilisation chinoise, sont par excellence des faits continentaux (Vidal de La Bl., Tabl. géogr. Fr., 1908, p.26).",,,,\mɔ̃.ɡɔl\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/db/LL-Q150_%28fra%29-Lepticed7-mongol.wav/LL-Q150_%28fra%29-Lepticed7-mongol.wav.mp3
Creuse,"CREUSER,","Creuseur,","Creusure,",,verbe trans.,subst. masc.,"subst. fém.,",,Faire une cavité en enlevant de la matière.,Celui qui creuse.,Creux.,,"Une empreinte ineffaçable, semblable à la goutte d'eau forte qui creuse la planche de cuivre en y tombant (Chênedollé, Journal,1822, p. 114).","Les assassins, creuseurs de fosses à la hâte (Hugo, Dieu,1885, p. 132).","Dans le cas de creusure pratiquée dans une surface, on comprendra facilement que, une fois cette profondeur réglée par la longueur ou la course de l'outil, elle sera toujours la même dans le cours de ce travail (Nosban, Manuel menuisier,t. 2, 1857, p. 238)",,\kʁøz\,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Creuse-Position.svg/220px-Creuse-Position.svg.png,//upload.wikimedia.org/wikipedia/commons/transcoded/8/8c/Fr-Paris--Creuse.ogg/Fr-Paris--Creuse.ogg.mp3
plaindre,"PLAINDRE,","Plaigneur,","Plaignoter,",,verbe,"subst. masc.,","verbe trans.,",,Exprimer sa compassion envers quelqu'un.,"Celui qui se plaint, qui a l'habitude de se plaindre.",Plaindre doucement.,,"J'ai appris ce matin, par les feuilles, la mort de MmeViardot. Je plains beaucoup Tourgueneff et vais lui écrire immédiatement (Flaub.,Corresp., 1871, p.232).","Le jour qu'il protesta [Renan], je faillis m'étouffer de mes rires. Qu'on fasse taire ce plaigneur, disais-je, il va me gâter l'auteur des Dialogues philosophiques (Barrès,Renan,1888,p.XV).","Pendant ce temps-là, l'enfant se plaignotait comme une souris prise au piège (Céline,Voyage, 1932, p.332).",,\plɛ̃dʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/f/f2/Fr-plaindre.ogg/Fr-plaindre.ogg.mp3
épicerie,"ÉPICERIE,",,,,subst. fém.,,,,Les épices.,,,,"Les boissons que retirent quelques peuples sauvages de diverses épiceries écrasées et mêlées au suc qui découle de certaines espèces d'arbres (Cabanis, Rapp. phys. et mor.,t. 2, 1808, p. 78).",,,,\e.pi.sʁi\,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Comercio_en_la_plaza_del_9_de_abril_de_1947%2C_T%C3%A1nger%2C_Marruecos%2C_2015-12-11%2C_DD_75.JPG/220px-Comercio_en_la_plaza_del_9_de_abril_de_1947%2C_T%C3%A1nger%2C_Marruecos%2C_2015-12-11%2C_DD_75.JPG,//upload.wikimedia.org/wikipedia/commons/transcoded/8/86/LL-Q150_%28fra%29-Beno%C3%AEt_Prieur-%C3%A9picerie.wav/LL-Q150_%28fra%29-Beno%C3%AEt_Prieur-%C3%A9picerie.wav.mp3
bousiller,"BOUSILLER,",,,,verbe.,,,,"Maçonner, construire en bousillage.",,,,"1. Une voix d'enfant vieille et sentencieuse s'échappe du lit : − Oui, tes yeux vont se brouiller, tu vas bousiller et tu auras encore « du refusé ».
Frapié, La Maternelle,1904, p. 118.",,,,\bu.zi.je\,,//upload.wikimedia.org/wikipedia/commons/transcoded/b/b1/LL-Q150_%28fra%29-Lyoko%C3%AF-bousiller.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-bousiller.wav.mp3
défonce,"DÉFONCER,",,,,verbe trans.,,,,Enlever le fond de quelque chose.,,,,"Ses matelots (...) défoncèrent un baril d'eau-de-vie (Verne, Enf. cap. Grant,t. 3, 1868, p. 42).",,,,\de.fɔ̃s\,,//upload.wikimedia.org/wikipedia/commons/transcoded/a/ad/LL-Q150_%28fra%29-LoquaxFR-d%C3%A9fonce.wav/LL-Q150_%28fra%29-LoquaxFR-d%C3%A9fonce.wav.mp3
rassis,"RASSEOIR,",,,,verbe,,,,Remettre quelqu'un en position assise (sur quelque chose).,,,,"Il faut rasseoir ce malade, cet enfant (Ac.1835-1935).",,,,\ʁa.si\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d2/Fr-rassis.ogg/Fr-rassis.ogg.mp3
salope,"SALOPE,",Marie-salope*.,"Salopement,","Saloper,",adj. et subst. fém.,-,"adv.,",verbe trans.,"Qui est très sale, très malpropre.","D'une manière sale, malpropre.","D'une manière sale, malpropre.","Faire très mal un travail, exécuter quelque chose sans soin.","Cet enfant, cette petite fille est salope, est bien salope (Ac.1835).","Mesurant l'âme d'un écrivain à leurs basses âmes et se sentant avec cela fort merdeux, ils ont dû croire idiotement et salopement (...) que j'avais employé les quatre susdites années à épier avec soin leurs turpitudes (Bloy,Journal,1905, p. 260).","Mesurant l'âme d'un écrivain à leurs basses âmes et se sentant avec cela fort merdeux, ils ont dû croire idiotement et salopement (...) que j'avais employé les quatre susdites années à épier avec soin leurs turpitudes (Bloy,Journal,1905, p. 260).","Ils étaient jeunes encore, ils avaient du temps devant eux; puis, ils n'aimaient pas le travail salopé, ils voulaient travailler à leur aise, sans se maigrir de soucis (Zola,Ventre Paris,1873, p. 654).",\sa.lɔp\,//upload.wikimedia.org/wikipedia/commons/thumb/7/74/A_common_hoopoe_-_Wiedehopf_02.jpg/220px-A_common_hoopoe_-_Wiedehopf_02.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/7/71/LL-Q150_%28fra%29-Lyoko%C3%AF-salope.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-salope.wav.mp3
et,"ET,",,,,conj. de coordination.,,,,"Conj. copulative servant à coordonner des termes, des groupes de termes et des phrases, et exprimant une addition, une jonction, un rapprochement.",,,,"Le village d'Herlem, un amas disparate de maisons rouges et blanches (Van der Meersch, Invas. 14,1935, p. 7).",,,,\e\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/94/Fr-et.ogg/Fr-et.ogg.mp3
contraindre,"CONTRAINDRE,","Contraignable,",,,verbe trans.,"adj.,",,,",,Serrer, presser, mettre à l'étroit.`` (Ac. 1835, 1878).",Qui peut être contraint par voie de droit.,,,"1. ... je ne cessai (...) de me demander comment Geneviève (...) méditait de sortir de cette situation difficile où sa malchance et ma sotte rigueur venaient de la contraindre.
Bosco, Le Mas Théotime,1945, p. 26.",Les débiteurs ne sont plus contraignables par corps (Ac.1932).,,,\kɔ̃.tʁɛ̃dʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/1f/Fr-contraindre.ogg/Fr-contraindre.ogg.mp3
éclopé,"ÉCLOP(P)ER,(ÉCLOPER, ÉCLOPPER)",,,,verbe trans.,,,,"Rendre boiteux, estropier.",,,,"Pas de contusions (...). Les rois n'aiment pas qu'on éclope leurs domestiques (Hugo, Homme qui rit,t. 2, 1869, p. 40).",,,,\e.klɔ.pe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e7/LL-Q150_%28fra%29-Lepticed7-%C3%A9clop%C3%A9.wav/LL-Q150_%28fra%29-Lepticed7-%C3%A9clop%C3%A9.wav.mp3
rasséréner,"RASSÉRÉNER,","Rassérénant, -ante,","Rasséréné, -ée,","Rassérénement, rassérènement,",verbe trans.,part. prés. en empl. adj.,part. passé en empl. adj.,subst. masc.,Rendre de nouveau serein.,Qui rassérène.,Ramené à la sérénité.,"Action de (faire) redevenir serein; p. méton. résultat de cette action, sensation, impression ressentie.",Le soleil parut et rasséréna le temps (Ac.).,"Mon cœur, mollement remué, se reportait sur les heures de cette orageuse journée, et, en y retrouvant la trace des angoisses du matin, il savourait avec plus de vivacité la tranquille douceur de la soirée et le rassérénant espoir d'une délivrance (Toepffer, Nouv. genev., 1839, p. 376).","Le calme de l'heure était à l'image de ces âmes rassérénées, à nouveau transparentes (Queffélec, Recteur, 1944, p. 191).","Il faut pour l'opérer [la conversion du cinq pour cent], un rassérènement de l'horizon politique (P. Leroy-Beaulieu, Journ. des Débats, 13 déc. 1876, 1repage, 5ecol. ds Littré Suppl. 1877).",\ʁa.se.ʁe.ne\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9c/LL-Q150_%28fra%29-Lyoko%C3%AF-rass%C3%A9r%C3%A9ner.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-rass%C3%A9r%C3%A9ner.wav.mp3
éparpiller,"ÉPARPILLER,",,,,verbe trans.,,,,"Jeter, répandre çà et là.",,,,"Le morceau de pain (...) était éparpillé en miettes (Baudel., Poèmes prose,1867, p. 79).",,,,\e.paʁ.pi.je\,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Wikipedia_Connection%27s_United_Nations_Day_Edit-a-thon_2016_research_materials.jpg/220px-Wikipedia_Connection%27s_United_Nations_Day_Edit-a-thon_2016_research_materials.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/d/dc/LL-Q150_%28fra%29-Lyoko%C3%AF-%C3%A9parpiller.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-%C3%A9parpiller.wav.mp3
constat,"CONSTAT,",,,,subst. masc.,,,,Procès-verbal établi par un huissier pour constater un fait pouvant être utile à une partie :,,,,"Procès-verbal de constat (Zola, La Bête humaine,1890, p. 78).",,,,\kɔ̃s.ta\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d0/LL-Q150_%28fra%29-DenisdeShawi-constat.wav/LL-Q150_%28fra%29-DenisdeShawi-constat.wav.mp3
cul-terreux,"CUL-TERREUX,",,,,subst. masc.,,,,"Paysan, habitant de la campagne.",,,,"Ils ne sont pas si bêtes que ça, les culs-terreux (Zola, Terre,1887, p. 373):",,,,\ky.tɛ.ʁø\,,//upload.wikimedia.org/wikipedia/commons/transcoded/7/78/LL-Q150_%28fra%29-Lyoko%C3%AF-cul-terreux.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-cul-terreux.wav.mp3
picard,"PICARD, -ARDE,",,,,adj. et subst.,,,,(Personne) qui est originaire de Picardie et/ou qui y habite.,,,,"Les deux familles dont je procède, l'une picarde et l'autre ardennaise, étaient originairement des familles de paysans (Michelet, Peuple, 1846, p.20).",,,,\pi.kaʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Aire_de_r%C3%A9partition_du_picard.PNG/220px-Aire_de_r%C3%A9partition_du_picard.PNG,//upload.wikimedia.org/wikipedia/commons/transcoded/d/dd/LL-Q150_%28fra%29-Lyoko%C3%AF-picard.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-picard.wav.mp3
esclaffer,"ESCLAFFER(S'),(ESCLAFFER, ESCLAFFERS)",,,,verbe pronom.,,,,Éclater.,,,,"La terre ne sonne pas sous les pieds (...) Elle ne s'esclaffe pas non plus en flaques de boue aux fusées jaillissantes (Richepin, Pavé,1883, p. 110).",,,,\ɛs.kla.fe\,//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Two_people_laughing.jpg/220px-Two_people_laughing.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/e/e9/LL-Q150_%28fra%29-Lyoko%C3%AF-esclaffer.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-esclaffer.wav.mp3
braquer,"BRAQUER,","Braqueur,",,,verbe trans.,subst. masc.,,,Pointer :,Celui qui braque,,,"1. Au midi, Bazeilles conquis, vide et morne, finissait de brûler, jetant de gros tourbillons de fumée et d'étincelles; pendant que les Bavarois, maîtres de Balan, braquaient des canons, à trois cents mètres des portes de la ville.
Zola, La Débâcle,1892, p. 353.","− Assez, vilain braqueur de lorgnettes (Morand, 1900,1931, p. 154).",,,\bʁa.ke\,//upload.wikimedia.org/wikipedia/commons/thumb/9/90/Vincent_Hancock_at_2008_Summer_Olympics_men%27s_skeet_finals_2008-08-16.JPG/220px-Vincent_Hancock_at_2008_Summer_Olympics_men%27s_skeet_finals_2008-08-16.JPG,//upload.wikimedia.org/wikipedia/commons/transcoded/8/8e/LL-Q150_%28fra%29-LoquaxFR-braquer.wav/LL-Q150_%28fra%29-LoquaxFR-braquer.wav.mp3
tamiser,"TAMISER,","Tamisage,","tamisation,","Tamiseur, -euse,",verbe,subst. masc.;,"subst. fém.,",subst. et adj.,Passer (une substance) au tamis ou à travers ce qui joue le rôle d'un tamis.,Action de tamiser.,Action de tamiser.,"Ouvrier, ouvrière chargé(e) de tamiser (en particulier la farine pour la fabrication des pâtes alimentaires, des couleurs pour les bains de teinture) (d'apr. Mét. 1955).","Après la traite, le lait sera tamisé pour le débarrasser des poils, écailles, fétus de paille et insectes qui sont tombés dans le récipient (Macaigne, Précis hyg., 1911, p. 240).","La tamisation est une opération qui complète la pulvérisation (Deschamps d'Avallon, Compendium pharm. prat., 1868, p. 112).","La tamisation est une opération qui complète la pulvérisation (Deschamps d'Avallon, Compendium pharm. prat., 1868, p. 112).","Le tamiseur Koran se compose d'un tamis conique à l'intérieur duquel tourne un arbre portant deux raclettes qui le nettoient (Saillard, Betterave, t. 1, 1923, p. 316).",\ta.mi.ze\,,//upload.wikimedia.org/wikipedia/commons/transcoded/7/72/Fr-tamiser.ogg/Fr-tamiser.ogg.mp3
savonnette,"SAVONNETTE,",,,,subst. fém.,,,,Petite boule de savon utilisée pour rendre la barbe moins dure avant le rasage.,,,,"Les savonnettes que nos pères employaient pour la barbe (...) se préparent en fondant du savon de soude et en y mêlant de l'amidon très fin (Wurtz,Dict. chim., t. 2, vol. 2, 1876, p. 1451).",,,,\sa.vɔ.nɛt\,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Savonnette_d%27h%C3%B4tel_-_2.jpg/220px-Savonnette_d%27h%C3%B4tel_-_2.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/a/ae/LL-Q150_%28fra%29-VictorDtmtc-savonnette.wav/LL-Q150_%28fra%29-VictorDtmtc-savonnette.wav.mp3
cuit,"CUIRE,",,,,verbe.,,,,"Soumettre une matière à l'action du feu ou d'une source de chaleur correspondante qui modifie cette matière dans sa substance, généralement pour la rendre propre à un certain usage.",,,,"Le dîner était acheté : la concierge le cuirait (A. France, Bonnard,1881, p. 450).",,,,\kɥi\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/24/LL-Q150_%28fra%29-LoquaxFR-cuit.wav/LL-Q150_%28fra%29-LoquaxFR-cuit.wav.mp3
linge,"LINGE,","Lingé, -ée,",,,subst. masc.,"adj.,",,,Pièce de tissu de lin; p. ext. tout ou partie des pièces de tissu employées aux usages domestiques.,Habillé avec élégance.,,,"Pour que leurs filles deviennent de bonnes ménagères, il convient qu'elles ne sachent que faire la soupe et compter le linge de cuisine (Senancour, Obermann, t. 2, 1840, p. 55).","Le monsieur de toutes les fêtes et de toutes les villégiatures, (...) parfumé, lingé comme un dandy de Londres (Lorrain, Sens. et souv.,1895, p. 305).",,,\lɛ̃ʒ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/15/Fr-linge.ogg/Fr-linge.ogg.mp3
pomper,"POMPER,","Pompeur,",,,verbe trans.,subst. masc.,,,"Puiser, extraire un liquide à l'aide d'une pompe.",Celui qui pompe.,,,"Il est beaucoup plus économique de pomper directement la saumure du sous-sol au moyen de trous de sonde forés jusqu'au gisement, dans lesquels on injecte de l'eau douce (Stocker,Sel, 1949, p.40):","Le mal vient du cerveau toujours en travail, l'animal monstrueux, informe et mou dans sa gaine comme un ver, pompeur infatigable (Bernanos,M. Ouine, 1943, p.1461).",,,\pɔ̃.pe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/6/6d/Fr-pomper.ogg/Fr-pomper.ogg.mp3
gamelle,"GAMELLE,","Gamellée,","Gamelot,",,subst. fém.,"subst. fém.,","subst. masc.,",,Grande écuelle de bois ou de métal dans laquelle plusieurs soldats ou matelots mangeaient ensemble.,Contenu d'une gamelle.,",,Gamelle à hauts bords comportant deux compartiments dans lesquels sont servis séparément les viandes et les légumes`` (Le Clère 1960).",,"Au repas du midi et du soir, les matelots, assis en rond autour des gamelles, plongeaient l'un après l'autre, régulièrement et sans fraude, leur cuiller d'étain dans la soupe flottante au roulis (Chateaubr., Mém., t. 1, 1848, p. 259).","En mangeant notre gamellée sous la tente, mes camarades me demandaient des histoires de mes voyages (Chateaubr., Mém., t. 1, 1848, p. 399).",,,\ɡa.mɛl\,//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/La_Petite_Lune_-_18.jpg/220px-La_Petite_Lune_-_18.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d5/LL-Q150_%28fra%29-Lepticed7-gamelle.wav/LL-Q150_%28fra%29-Lepticed7-gamelle.wav.mp3
hémiplégique,"HÉMIPLÉGIQUE,",,,,adj.,,,,Qui a rapport à l'hémiplégie.,,,,"C'est au cours de ce coma qu'apparaissent les signes hémiplégiques (Quillet Méd.1965, p. 340).",,,,\e.mi.ple.ʒik\,,
bricole,"BRICOLE,",,,,subst. fém.,,,,"Machine de guerre, sorte de catapulte* composée d'une poutre à cheval entre deux montants, et d'un long ressort que l'on tend au moyen d'une corde ou d'une courroie attachée à une de ses extrémités :",,,,"1. Quatre machines nommées bricoles, probablement des espèces de catapultes, portées sur des roues, étaient sur le rivage [de Barcelone].
Mérimée, Histoire de Don Pèdre Ier, roi de Castille,1848, p. 261.",,,,\bʁi.kɔl\,,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d0/LL-Q150_%28fra%29-Lyoko%C3%AF-bricole.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-bricole.wav.mp3
bitume,"BITUME,","Bitumeux, euse,","Bitumineux, euse,","Bituminisation,",subst. masc.,adj.,adj.,subst. fém.,"Substance minérale composée de matières hydrocarbonées diverses, utilisée notamment comme revêtement des chaussées.",Qui contient du bitume.,"Transformation de substances organiques en ,,matière bitumineuse`` (Plais-Caill. 1958).","Transformation de substances organiques en ,,matière bitumineuse`` (Plais-Caill. 1958).","1. On le vit un moment, rue Taitbout, où sans doute, il se garnit les mains de quelques bons écrins et de sacoches... et de là, le diable sait où il disparut, en Belgique probablement, mais onques, nul ne l'a revu, sur le bitume du boulevard. 
Bourges, Le Crépuscule des dieux,1884, p. 303.","Hier, séance de la Chambre. Depuis combien d'années ne m'étais-je penché sur cette cuve, dont je hais le jour blême, l'atmosphère bitumeuse de mauvais tableau d'histoire (Mauriac, Bloc-notes,1958, p. 101).",,,\bi.tym\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/94/LL-Q150_%28fra%29-Lyoko%C3%AF-bitume.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-bitume.wav.mp3
amenuiser,"AMENUISER,",,,,verbe trans.,,,,Rendre plus menu.,,,,"1. Les Vierges eurent des faces en amandes, des visages allongés comme ces ogives que le gothique amenuisa pour distribuer une lumière ascétique, un jour virginal, dans la châsse mystérieuse de ses nefs.
J.-K. Huysmans, En route,t. 1, 1895, p. 11.",,,,\a.mə.nɥi.ze\,,//upload.wikimedia.org/wikipedia/commons/transcoded/9/9a/LL-Q150_%28fra%29-Lyoko%C3%AF-amenuiser.wav/LL-Q150_%28fra%29-Lyoko%C3%AF-amenuiser.wav.mp3
singer,"SINGER,","Singeur, -euse,",,,verbe trans.,"adj.,",,,"Imiter d'une manière caricaturale, par simple jeu ou par moquerie, en contrefaisant des gestes, des attitudes, la voix.","Qui imite, qui copie.",,,"Le gros père Guerbet avait singé madame Isaure, la femme de Gaubertin, en se moquant de ses airs penchés, en imitant sa petite voix, sa petite bouche et ses façons jeunettes (Balzac,Paysans, 1850, p. 290).","L'apparente hypocrisie de ceux qui les attaquent ferait horreur, si leur puérilité, leur engouement pour le premier paradoxe venu, leur nature singeuse et leur absence totale de raisonnement ne faisaient sourire (Sand,Lettres voy., 1836, p. 317).",,,\sɛ̃.ʒe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/b/bf/LL-Q150_%28fra%29-DSwissK-singer.wav/LL-Q150_%28fra%29-DSwissK-singer.wav.mp3
tapette,"TAPETTE,",,,,subst. fém.,,,,Petite tape.,,,,"Barnabé (...) avait brusquement quitté sa place et caressait de tapettes amicales les épaules de Simonnet (Fabre, Barnabé, 1875, p. 170).",,,,\ta.pɛt\,,//upload.wikimedia.org/wikipedia/commons/transcoded/1/1b/LL-Q150_%28fra%29-Lepticed7-tapette.wav/LL-Q150_%28fra%29-Lepticed7-tapette.wav.mp3
hangar,"HANGAR,",,,,subst. masc.,,,,"Bâtiment rudimentaire, en appentis ou isolé, composé d'un toit reposant sur des piliers, qui abrite du gros matériel (agricole), des récoltes, des marchandises encombrantes, des véhicules.",,,,"Meaulnes, sans mot dire, remisa sous le hangar la bêche et la pioche qu'il avait sur l'épaule (Alain-Fournier, Meaulnes,1913, p. 53).",,,,\ɑ̃.ɡaʁ\,//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Hangar%2C_Club_Aereo_Melipilla.jpg/220px-Hangar%2C_Club_Aereo_Melipilla.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/d/d9/Fr-hangar.ogg/Fr-hangar.ogg.mp3
quinte,"QUINT, QUINTE,","Quintane,",,,adj. et subst.,"adj.,",,,Fièvre intermittente dans laquelle les accès reviennent tous les cinq jours.,,,,"Sixte-Quint qui, pour être nommé pape, fit le mourant pendant des années (Alain, Propos, 1911, p. 102).",,,,\kɛ̃t\,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Nut-Straight.jpg/220px-Nut-Straight.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/4/45/LL-Q150_%28fra%29-Lepticed7-quinte.wav/LL-Q150_%28fra%29-Lepticed7-quinte.wav.mp3
surdoué,"SURDOUÉ, -ÉE,",,,,adj. et subst.,,,,(Personne) dont les capacités intellectuelles sont très supérieures à la moyenne.,,,,"Y a-t-il seulement une chose que l'écrivain anglais Anthony Burgess ne sache pas faire? Une seule. Il trouve l'anglais « encore très difficile à bien écrire ». Parler de difficulté dans la maîtrise absolue, c'est peut-être un des secrets de ce surdoué modeste, de ce génie bûcheur (Le Point, 21 févr. 1977, p. 91, col. 1).",,,,\syʁ.dwe\,,//upload.wikimedia.org/wikipedia/commons/transcoded/2/22/LL-Q150_%28fra%29-DSwissK-surdou%C3%A9.wav/LL-Q150_%28fra%29-DSwissK-surdou%C3%A9.wav.mp3
écorce,"ÉCORCE,",,,,subst. fém.,,,,Enveloppe d'un végétal.,,,,"Les écorces des pins luisaient comme des écailles (Mauriac, Myst. Frontenac,1933, p. 54).",,,,\e.kɔʁs\,//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%C3%89corces_collage.jpg/220px-%C3%89corces_collage.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/3/38/Fr-%C3%A9corce.ogg/Fr-%C3%A9corce.ogg.mp3
sciure,"SCIURE,",,,,subst. fém.,,,,Ensemble des parcelles en poussière qui tombent d'un matériau que l'on scie.,,,,"Je l'avais remplie d'un demi-quintal de poudre bien bourrée avec de la sciure de pierre par-dessus (Lamart., Tailleur pierre, 1851, p. 544).",,,,\sjy:ʀ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/0/05/LL-Q150_%28fra%29-VictorDtmtc-sciure.wav/LL-Q150_%28fra%29-VictorDtmtc-sciure.wav.mp3
fourmi,"FOURMI,","Frémillon,",,,subst. fém.,"subst. masc.,",,,Insecte hyménoptère de petite taille vivant en colonies nombreuses.,,,,"Dingley écrasait rageusement du pied les fourmis qui fuyaient leur demeure bouleversée (Tharaud, Dingley,1906, p. 119).","Les fremillons lui mangeront le visage; on ne la reconnaîtra point (Claudel, Violaine,1892, IV, p. 542).",,,\fuʁ.mi\,//upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Paraponera_clavata_MHNT.jpg/160px-Paraponera_clavata_MHNT.jpg,//upload.wikimedia.org/wikipedia/commons/transcoded/0/07/Fr-fourmi-ca-Montr%C3%A9al.ogg/Fr-fourmi-ca-Montr%C3%A9al.ogg.mp3
engourdir,"ENGOURDIR,",,,,verbe trans.,,,,Provoquer une paralysie partielle; rendre un membre inerte ou insensible.,,,,"« Le seul moyen qui ait réussi à engourdir la malade, c'est la morphine sur emplâtre (à dose infinitésimale)... » (Michelet, Journal,1842, p. 822):",,,,\ɑ̃.ɡuʁ.diʁ\,,//upload.wikimedia.org/wikipedia/commons/transcoded/e/eb/LL-Q150_%28fra%29-Lepticed7-engourdir.wav/LL-Q150_%28fra%29-Lepticed7-engourdir.wav.mp3
